Player,Pos,90s,PrgC,PrgP,PrgR,Succ Takeons,Attakcking Third Carries,Long Passes Cmp,xA,Pass Cmp%,Pass PrgDist,TklW,Blocks,Int,Recov
Jonathan Tah,DF,10.8,5,32,1,4,2,34,0.2,94.6,4943,6,16,4,64
Montassar Talbi,DF,12,3,33,5,5,5,32,0.3,85.4,3262,8,20,20,56
Adrien Tameze,"DF,MF",7.9,7,36,16,6,13,25,0.8,87.2,2019,6,12,17,58
Renato Tapia,MF,2.2,1,3,3,1,3,7,0,76.9,311,5,3,1,13
Edmond Tapsoba,DF,9.8,19,63,4,8,17,50,0.7,92,5796,9,5,6,81
Matt Targett,DF,0.9,1,2,0,0,1,6,0,87.8,188,0,1,0,5
Oussama Targhalline,MF,1,8,11,3,1,8,0,0,83.6,315,2,3,2,14
James Tarkowski,DF,12,2,37,5,5,1,75,0.5,77.9,3607,11,26,18,53
César Tárrega,DF,0.1,0,0,0,0,0,0,0,100,22,0,0,0,0
Nuno Tavares,DF,1.1,3,1,1,1,1,2,0,75.8,84,2,1,0,5
Marcus Tavernier,"FW,MF",6.9,22,15,32,22,22,13,0.8,72.2,663,10,10,2,35
Charlie Taylor,DF,9,10,31,20,4,7,37,0.2,78.2,2122,6,13,7,43
Loum Tchaouna,"FW,MF",2.7,13,8,20,3,8,3,0.1,56.8,263,0,3,0,9
Jackson Tchatchoua,DF,0.8,3,1,9,0,3,3,0.3,65.9,195,1,4,2,5
Enzo Tchato,DF,0.3,1,0,2,0,2,1,0,100,23,1,1,0,0
Aurélien Tchouaméni,"MF,DF",9.3,13,65,11,4,25,43,0.6,91.4,3146,10,10,14,40
Mathys Tel,"FW,MF",2.3,9,5,24,12,4,3,0.7,83.9,172,0,4,2,8
Nathan Tella,DF,0.7,1,4,7,1,2,0,0,86.7,92,0,2,1,2
Nahuel Tenaglia,"DF,FW",1.1,0,3,5,0,0,4,0,67.4,415,2,0,1,6
Marc-André ter Stegen,GK,13,0,1,0,0,0,105,0,91.9,7003,0,0,0,28
Filippo Terracciano,DF,9.6,16,34,22,8,16,32,0.8,74.5,2727,15,18,9,49
Pietro Terracciano,GK,10,0,0,0,0,0,111,0,80,6174,0,1,0,12
Ramón Terrats,MF,5.1,6,21,28,7,8,12,0.4,81.3,798,5,3,1,19
Martin Terrier,"FW,MF",1.5,1,8,5,0,1,1,0.2,75.6,134,0,2,2,8
Kenny Tete,DF,4.7,11,24,27,5,9,16,0.2,83.4,1181,6,2,7,17
Benjamin Tetteh,"FW,MF",1.9,3,6,8,4,3,0,0,60.4,96,2,0,0,5
Teddy Teuma,MF,7.8,9,45,28,11,15,43,1.3,76.8,1826,15,11,9,41
Florian Thauvin,FW,7.3,24,28,50,13,19,17,2.3,72.1,790,2,3,0,22
Arthur Theate,DF,9,8,42,1,0,11,59,0.2,91.4,4341,2,11,10,48
Norman Theuerkauf,"MF,DF",6.5,2,21,9,1,3,26,0.2,80.2,1095,7,5,9,29
Malick Thiaw,DF,9.3,12,42,0,7,3,43,0.2,91.7,3592,11,13,7,41
Jan Thielmann,"FW,MF",0.6,2,4,8,0,3,0,0,51.9,40,2,7,1,3
Denis Thomalla,"MF,FW",3.6,2,15,11,1,2,14,0.7,77.6,517,4,1,3,20
Luke Thomas,DF,8,8,26,18,5,6,14,0.2,75.3,1088,7,21,7,34
Adrien Thomasson,MF,7.5,12,38,65,6,10,12,1.8,73.4,954,7,8,7,55
Morten Thorsby,MF,6,1,16,14,3,3,3,0.5,57.7,361,5,8,2,18
Kristian Thorstvedt,MF,5.1,9,41,17,2,10,15,0.4,79.6,1172,1,6,7,20
Khéphren Thuram,MF,8.1,27,44,27,16,30,13,1,88.4,1165,12,8,5,43
Marcus Thuram,FW,10,27,20,65,19,15,7,1.1,70.4,455,5,6,2,25
Cheikh Tidiane Sabaly,"FW,MF",7.5,11,16,39,14,10,9,0.3,79.1,482,10,12,5,45
Youri Tielemans,"MF,FW",3.2,10,34,12,2,5,13,0.6,82.3,965,1,6,3,24
Kieran Tierney,DF,2.6,4,7,3,1,1,12,0.1,75.6,744,4,4,2,12
Phillip Tietz,FW,7.7,5,13,36,7,6,3,0.6,58,336,2,6,1,31
Steffen Tigges,"FW,MF",2.9,2,5,19,3,1,1,0.2,57.8,119,0,2,1,7
Jurriën Timber,DF,0.5,0,7,3,0,2,0,0,89.8,152,1,0,0,2
Jean-Clair Todibo,DF,10.7,10,51,1,7,5,61,0.3,90.1,6127,12,18,15,86
Harry Toffolo,DF,4.4,2,13,15,0,2,16,0.3,73.7,888,2,10,6,20
Umut Tohumcu,MF,0.1,0,0,0,0,0,0,0,50,13,2,0,0,1
Corentin Tolisso,MF,7,9,70,26,1,21,60,1.4,83,2702,13,7,4,57
Jeremy Toljan,DF,11,24,44,38,3,18,29,0.6,78.6,2474,4,10,6,57
Rafael Tolói,DF,4.8,5,19,2,1,7,14,0.1,82.4,1277,2,1,7,34
Raúl de Tomás,FW,6.1,9,11,33,10,3,10,0.2,77.7,227,3,1,0,16
Tiago Tomás,"FW,MF",5.8,14,11,60,12,10,7,0.5,63.5,247,1,6,1,23
Takehiro Tomiyasu,DF,4.7,7,31,12,3,6,11,0.2,82.2,864,2,1,6,24
James Tomkins,DF,0,0,0,0,0,0,0,0,100,6,0,0,0,0
Fikayo Tomori,DF,10.7,10,40,1,2,6,46,0.1,91.6,4628,11,13,17,59
Sandro Tonali,MF,4.9,11,19,21,3,4,11,0.5,86.1,870,7,3,2,20
Pablo Torre,MF,1.4,6,14,6,0,3,5,0.5,76.1,375,0,1,0,8
Raúl Torrente,DF,6.5,1,15,2,0,0,35,0.2,73.9,1848,9,7,5,31
Ferrán Torres,FW,6.4,13,24,53,6,10,12,0.8,74.9,508,2,4,2,23
Óliver Torres,"MF,FW",5.7,9,26,53,2,4,11,0.8,78.2,874,5,12,0,39
Pau Torres,DF,11.7,18,67,7,9,20,50,0.3,88.8,4270,7,12,5,61
Lucas Torró,MF,8.5,0,22,3,2,4,14,0.2,75.7,1264,7,4,16,59
Ahmed Touba,"DF,FW",1.3,0,2,1,0,1,5,0,85.5,302,2,2,2,9
Abdoulaye Touré,MF,10.6,9,59,9,12,13,40,0.3,85,2214,13,9,11,73
Souleymane Touré,DF,7.5,10,22,10,3,5,25,0.4,88.3,2094,5,16,19,33
Lucas Tousart,MF,3.4,2,8,11,0,4,7,0.1,71.2,417,5,3,2,20
Andros Townsend,MF,1.9,6,3,5,3,1,6,0.3,64.9,282,7,2,2,14
James Trafford,GK,12,0,3,0,0,0,105,0,74.3,7194,1,0,1,20
Adama Traoré,"FW,DF",0.5,2,2,2,2,2,0,0,75,43,0,0,0,2
Bertrand Traoré,"DF,FW",0.1,0,0,0,0,0,0,0,66.7,0,1,0,0,2
Boubacar Traoré,"MF,FW",2.9,3,7,5,1,7,10,0.1,85.3,388,10,5,1,25
Hamari Traoré,DF,11.2,21,52,23,10,13,56,1.3,79,3047,13,10,12,79
Ismaël Traoré,DF,8,0,5,0,0,1,34,0,88.3,1783,7,13,12,37
Omar Traoré,DF,9.9,26,23,30,7,18,28,0.6,73.9,2342,9,11,14,57
Kevin Trapp,GK,10,0,0,0,0,0,62,0,73.5,4251,0,0,1,19
Óscar Trejo,"MF,FW",5.9,10,48,26,9,7,8,0.6,79.4,811,10,7,3,33
Mike Trésor,FW,2.5,8,6,14,1,2,2,0.2,67.7,229,2,1,0,11
Manu Trigueros,"MF,FW",1.2,1,7,5,0,1,3,0.1,82.2,106,1,0,1,3
Christopher Trimmel,"DF,MF",7.2,8,34,31,1,9,38,1.4,63.4,1959,4,3,7,31
Kieran Trippier,DF,11.5,18,77,62,8,21,93,3.8,79.9,5434,9,20,7,71
Leandro Trossard,FW,3.4,11,20,30,3,6,5,1,71.3,484,3,8,2,13
Adrien Truffert,DF,8.6,16,30,61,10,20,14,0.9,81.7,2086,11,11,5,43
Auston Trusty,DF,5.2,1,4,2,0,0,5,0,73.9,685,10,7,6,13
Kostas Tsimikas,DF,3,15,18,36,1,13,17,0.8,77.3,854,3,4,1,18
Viktor Tsyhankov,"MF,DF",7.8,24,27,57,9,15,13,2.7,77.8,873,5,8,3,35
Stefano Turati,GK,11,0,0,0,0,0,50,0,76.3,4945,0,0,0,10
Matt Turner,GK,10,0,0,0,0,0,90,0,69.6,5854,0,0,0,9
Beñat Turrientes,MF,5,5,14,8,7,5,8,0.4,83.2,426,5,2,1,23
Tuta,DF,9.1,8,39,6,4,8,37,0.6,85.6,3909,13,5,9,71
Destiny Udogie,DF,8.7,27,46,53,7,17,10,0.8,84.2,1632,15,8,11,62
Matthieu Udol,DF,10,13,39,27,8,15,25,0.5,73.2,2416,7,29,20,52
Manuel Ugarte Ribeiro,MF,7,8,35,9,7,12,38,0.5,91.9,1722,21,6,10,75
Lesley Ugochukwu,MF,1.6,5,13,0,3,2,7,0.1,84.5,408,5,4,0,7
Lukas Ullrich,DF,0.2,0,0,5,0,1,0,0,36.4,8,0,0,0,1
Sven Ulreich,GK,8,0,0,0,0,0,40,0,82.7,3505,0,0,0,12
Samuel Umtiti,DF,2,0,8,0,0,0,14,0,95.1,749,1,0,2,9
Deniz Undav,FW,4.4,11,14,36,6,7,5,1.3,75.4,346,1,2,1,12
Dayot Upamecano,DF,7.7,9,52,1,1,4,69,0.2,94.2,4082,5,5,5,74
Kacper Urbanski,MF,0.3,1,1,3,0,1,2,0,86.7,33,1,0,0,4
Mark Uth,"MF,FW",1.5,3,4,10,2,3,4,0.3,64.2,104,1,2,1,8
Myrto Uzuni,"FW,MF",10.4,10,7,38,9,10,7,1.3,74.1,196,7,3,1,27
Josha Vagnoman,MF,0.3,2,2,1,0,2,0,0,78.6,44,0,0,0,2
Óscar Valentín,MF,11.2,10,45,6,4,13,32,0.3,81,2437,19,23,10,70
Martin Valjent,DF,11.5,3,21,2,0,4,38,0.1,78.3,2460,11,16,19,53
Jesús Vallejo,DF,1.1,1,2,0,1,0,9,0,91.9,478,1,2,0,7
Álvaro Vallés,GK,13,0,0,0,0,0,114,0,78.3,8515,1,0,0,18
Federico Valverde,MF,11.4,48,82,39,11,43,35,1.7,87.5,2556,14,6,16,61
Kévin Van Den Kerkhof,FW,4.4,16,9,36,7,16,12,0.5,56.8,382,7,5,2,24
Siebe Van Der Heyden,DF,2.6,0,1,1,0,1,8,0,67.1,361,2,1,6,8
Virgil van Dijk,DF,9.3,4,48,1,0,3,78,0.3,91.6,5190,5,17,14,47
Vanderson,DF,6.5,7,22,42,7,7,22,1,74.5,1099,10,9,9,47
Raphaël Varane,DF,3.8,6,26,1,1,10,15,0.1,92.4,1221,4,4,1,32
Ruben Vargas,"MF,FW",6.3,13,17,36,7,6,7,1.2,63.3,543,3,9,1,28
Johan Vásquez,DF,9.9,10,27,21,5,10,37,0.8,76.4,2082,13,22,10,43
José Luis García Vayá,MF,12.7,14,82,19,7,15,75,1.8,80.5,3592,22,13,15,83
Jesus Vazquez,"MF,DF",0.3,0,1,0,0,0,0,0,42.9,0,1,1,0,3
Kevin Vázquez,DF,2.9,1,4,5,1,3,6,0.1,75.2,582,4,4,3,13
Lucas Vázquez,"DF,MF",1.8,8,7,22,6,6,4,0.7,87.1,376,3,3,1,11
Matías Vecino,MF,3.2,2,14,7,0,3,10,0.1,79.9,447,3,5,3,12
Gabriel Veiga,FW,0.2,0,0,1,0,0,0,0,60,8,0,0,0,0
Alejo Véliz,"FW,MF",0.1,0,0,0,0,0,0,0,66.7,0,0,0,0,0
Miloš Veljković,DF,8.5,4,35,2,3,2,81,0.4,84.2,3343,6,8,3,44
Joël Veltman,DF,7.7,9,28,22,1,6,22,0.2,84,1224,19,7,7,30
Micky van de Ven,DF,10.5,9,34,1,6,4,40,0.1,94.6,3604,12,7,4,59
Lorenzo Venuti,"DF,FW",0.7,0,2,2,0,0,10,0,82.7,312,1,3,2,3
Bart Verbruggen,GK,5,0,0,0,1,0,35,0,87.4,3039,0,0,0,6
Simone Verdi,FW,0,0,0,0,0,0,0,0,100,5,0,0,0,0
Jordan Veretout,MF,7.8,15,74,19,4,16,44,1.9,78.4,2236,11,9,6,53
Mikel Vesga,MF,8.3,4,46,7,0,7,30,0.7,77.1,1682,9,9,14,51
Guglielmo Vicario,GK,12,0,0,0,0,0,48,0,80.2,4815,0,0,0,21
Nacho Vidal,"FW,DF",0.7,0,1,1,1,0,2,0,66.7,121,4,2,0,2
Fabio Vieira,MF,2.7,9,12,24,2,2,8,0.5,79.1,303,2,0,2,13
Jonathan Viera,"MF,FW",6.9,26,65,37,10,21,9,1.2,88.9,1489,3,0,0,28
Samuele Vignato,"MF,FW",3.7,13,13,20,5,8,11,0.2,84.7,425,4,2,0,11
Oscar Vilhelmsson,"FW,MF",3.5,2,0,20,0,1,1,0,44.9,24,3,4,1,4
Asier Villalibre,FW,1.6,5,5,10,1,2,2,0.5,69.4,65,0,1,0,7
Gonzalo Villar,MF,6.6,7,26,4,10,8,27,1,79.3,1484,10,14,2,62
Iván Villar,GK,9.3,0,0,0,0,0,55,0,60.6,3659,0,0,0,14
Matías Viña,DF,9.1,22,38,33,11,15,27,0.6,72.9,2353,18,11,8,39
Carlos Vinícius,FW,2.6,2,2,8,2,2,1,0.1,67.5,71,2,3,0,6
Nicolas Viola,MF,2.6,7,12,15,4,5,18,0.4,68.5,750,1,2,0,10
Alan Virginius,FW,0.8,1,2,4,2,0,0,0,82.4,45,1,0,0,2
Ricardo Visus,DF,0.3,0,0,0,0,0,0,0,0,0,0,0,1,
Mattia Viti,DF,2,0,3,0,0,0,3,0,94.7,289,0,4,2,4
Vitinha,FW,5,9,12,42,12,7,3,0.7,73.1,252,4,4,3,17
Vitinha,"MF,FW",8.2,14,66,58,16,29,35,0.9,89.7,2055,9,9,7,45
Vitinho,DF,4.7,13,14,9,2,6,8,0.1,77,870,5,5,2,13
Daniel Vivian,DF,12.8,10,48,2,3,4,70,0.4,84.5,4676,10,19,11,100
Odisseas Vlachodimos,GK,2,0,0,0,0,0,24,0,76.8,1225,0,0,0,1
Dušan Vlahović,FW,6.4,9,10,40,3,5,3,0.3,71.5,208,1,0,0,13
Nikola Vlašić,MF,8.2,13,34,50,6,10,15,1.2,76.2,755,7,7,2,41
Alessandro Vogliacco,"FW,DF",0,0,1,0,0,0,2,0,71.4,14,0,0,0,0
Kevin Vogt,DF,9.7,12,57,9,3,5,88,0.3,86,4788,6,9,7,66
Mërgim Vojvoda,DF,5.2,12,36,27,3,10,16,0.4,78.9,1690,0,4,5,22
Kevin Volland,"MF,FW",1.9,2,3,7,1,1,1,0.5,60,114,2,1,1,10
Cristian Volpato,"FW,MF",0.7,1,7,2,3,2,6,0.2,78.7,253,1,1,0,9
Aster Vranckx,MF,2.9,3,16,5,5,3,13,0.1,85.4,469,2,1,5,28
Stefan de Vrij,DF,7.1,0,10,0,0,2,12,0.1,90.3,1333,5,12,8,36
Elye Wahi,FW,0.2,1,1,2,1,1,0,0.1,100,22,0,0,0,1
Elye Wahi,FW,5.1,6,4,48,3,3,1,0.2,68.4,89,0,1,0,8
Walace,MF,11.2,13,47,10,2,12,44,0.4,82.6,2421,10,12,14,97
Luca Waldschmidt,"FW,MF",7.1,23,29,36,10,12,13,0.9,74.3,797,7,14,5,44
Kyle Walker,DF,12,30,60,81,7,27,65,1.1,87,2496,8,9,6,75
Sebastian Walukiewicz,DF,5.8,7,14,1,3,5,28,0.1,80.4,1594,6,14,7,23
Aaron Wan-Bissaka,DF,4.8,11,23,10,5,6,9,0.9,85.5,1135,10,9,8,29
Joel Ward,DF,10.7,11,36,10,5,7,18,0.2,78.9,2599,15,7,7,41
James Ward-Prowse,MF,10.7,9,43,21,5,10,49,3.3,82.7,2552,9,13,14,63
Deivid Washington,DF,0.1,0,0,1,0,0,0,0,100,0,1,0,0,0
Ollie Watkins,FW,11.5,22,16,68,6,10,3,1.6,77.1,308,2,12,0,24
Timothy Weah,"DF,FW",4.6,11,10,25,3,5,10,0.5,76.8,539,7,6,3,20
Adam Webster,DF,6,7,34,0,0,11,30,0.1,90.1,2807,9,6,5,38
Wout Weghorst,FW,8.1,7,16,37,2,3,7,1,73.3,371,5,12,1,24
Julian Weigl,MF,11,4,41,4,2,6,52,0.6,88.4,2394,16,16,10,76
Nelson Weiper,"FW,MF",1.2,3,2,17,1,1,0,0.1,61.8,37,0,1,1,4
Mitchell Weiser,"DF,FW",10.4,26,28,60,15,16,26,1.9,70.7,2415,11,15,1,74
Noah Weißhaupt,"DF,MF",3.1,18,10,30,2,12,13,0.6,75.8,555,0,4,4,16
Shon Weissman,FW,0.5,0,0,0,0,0,0,0,66.7,3,0,3,0,0
Danny Welbeck,"FW,MF",4.5,8,11,21,1,3,0,0.4,84.9,153,3,5,2,8
Timo Werner,"FW,MF",2.3,10,6,32,5,9,4,0.1,69.3,129,1,1,1,7
Ben White,DF,10.5,15,54,47,4,11,44,0.8,84.7,3702,10,16,9,38
Mateusz Wieteska,DF,4.5,5,11,1,1,0,19,0.1,81.5,1649,7,4,5,28
Mateusz Wieteska,DF,1.9,0,6,1,0,0,8,0,78.1,785,1,4,5,12
Iñaki Williams,FW,12.7,48,28,128,22,30,10,3.1,68.2,1023,7,18,4,57
Neco Williams,"MF,DF",1.4,1,3,5,1,1,3,0.1,58.5,199,4,3,7,12
Nico Williams,FW,8,42,19,84,25,21,14,3.5,68.7,829,3,9,0,49
Willian,FW,8.6,38,41,66,12,25,38,0.9,78.1,1061,1,7,4,41
Joe Willock,"MF,FW",1.5,6,3,9,4,1,4,0.5,77.4,200,2,2,0,10
Callum Wilson,FW,5.4,6,4,36,8,6,2,0.1,58.8,62,2,3,0,10
Harry Wilson,FW,7.6,13,26,57,7,11,14,1.2,78.5,586,6,8,3,37
Josh Wilson-Esbrand,DF,4.3,11,14,19,8,9,14,0.1,72.7,657,4,5,6,22
Patrick Wimmer,FW,3.1,3,7,15,3,1,3,0.1,67,267,3,8,2,16
Jonas Wind,FW,10.7,4,33,45,7,5,8,1.1,67.4,564,2,5,1,20
Florian Wirtz,MF,9.2,39,70,103,29,42,20,3.7,83.3,1958,3,7,1,54
Yoane Wissa,FW,11,20,13,55,13,13,3,0.3,70.3,386,8,12,5,43
Axel Witsel,DF,10.2,6,37,1,0,9,35,0.1,92,3958,5,15,5,54
Maximilian Wittek,DF,4.2,7,19,14,3,3,15,0.5,66,1035,7,5,3,30
Maximilian Wöber,DF,10.7,18,61,12,0,13,52,0.7,80,3797,10,24,25,74
Marius Wolf,DF,5.9,23,27,49,6,20,25,1.2,75.1,2044,5,2,3,37
Nick Woltemade,"FW,MF",2.5,2,7,22,5,3,5,0.3,80.2,185,5,0,0,10
Jeong Woo-yeong,MF,3.8,6,11,23,0,4,6,1.1,84.1,357,4,3,5,11
Chris Wood,FW,2.8,3,3,10,0,0,1,0.1,58.9,84,1,1,1,8
Cauley Woodrow,"FW,MF",0.9,3,1,6,2,2,1,0.4,59,36,4,0,0,8
Christopher Wooh,DF,2.4,2,15,1,0,0,19,0,89.8,943,2,0,6,13
Joe Worrall,DF,4.9,0,8,1,0,0,14,0.3,84.1,1068,5,5,3,18
Xeber,"FW,MF",3,5,4,27,3,2,3,0.5,67.8,204,4,1,1,16
Granit Xhaka,MF,10.7,17,118,12,6,17,74,1.4,92.4,4506,9,14,9,72
Abduqodir Xusanov,DF,1.5,4,12,1,1,3,9,0.1,90.3,423,1,1,1,11
Lamine Yamal,"FW,DF",7.2,32,14,85,18,12,8,1.5,80.8,573,10,7,5,21
Roman Yaremchuk,FW,1.9,1,6,10,0,2,1,0.1,77.6,123,1,1,0,9
Yehor Yarmoliuk,MF,0.7,0,0,0,0,0,0,0,0,0,2,0,1,
Ryan Yates,MF,4.1,4,8,8,0,4,5,0.2,75.4,472,7,14,6,20
Yusuf Yazıcı,"FW,MF",5.9,16,28,32,7,12,15,1.4,76.6,724,9,4,2,30
Kelvin Yeboah,FW,1.4,5,3,17,4,2,1,0,73.5,117,1,2,0,8
Kenan Yıldız,"FW,MF",0.5,1,2,2,2,0,2,0,75,79,1,0,0,5
Darlin Yongwa,DF,5.7,13,19,22,13,18,10,0.8,66.8,881,11,6,7,41
Leny Yoro,DF,9.6,2,19,1,3,3,45,0.1,90.3,2870,13,6,13,45
Ashley Young,DF,10.2,17,39,11,3,10,43,0.7,69.7,3111,11,9,9,59
Etienne Youte Kinkoue,DF,3,0,2,0,0,0,14,0,89.6,879,0,0,8,3
Illia Zabarnyi,DF,12,7,32,0,7,3,47,0.1,84.2,3272,11,19,13,51
Mattia Zaccagni,FW,8.6,34,22,104,13,19,17,0.8,82.5,896,10,10,12,32
Dan-Axel Zagadou,DF,8.3,1,44,2,2,3,63,0.2,85.1,4322,6,11,11,63
Warren Zaire-Emery,MF,10,17,59,35,9,24,21,1.1,91.3,1905,13,16,6,58
Denis Zakaria,"MF,DF",9.1,13,33,6,12,15,35,0.2,92.3,2560,10,20,20,68
Arsen Zakharyan,"MF,FW",2,1,5,14,0,3,7,0.4,62.5,284,3,1,0,6
Joseba Zaldúa,DF,0.7,0,0,2,0,0,1,0,62.5,77,2,2,0,2
Nicola Zalewski,DF,3.2,18,12,14,3,8,13,0.4,75.7,621,6,4,2,15
Andre-Frank Zambo Anguissa,MF,8.3,15,39,20,14,22,27,0.7,89.5,1854,7,13,12,58
Nicolò Zaniolo,"FW,MF",4.7,21,17,32,9,10,1,0.5,65.8,246,3,9,1,20
Alessandro Zanoli,"DF,MF",0.4,1,1,2,0,1,0,0,76.9,48,0,0,0,1
Duván Zapata,FW,7.6,18,10,64,9,22,9,0.5,68.5,245,1,5,2,23
Duván Zapata,FW,1.2,3,3,13,2,1,0,0.1,72,32,0,0,0,6
Gabriele Zappa,DF,8.8,17,40,27,2,11,33,1.1,73.7,2767,7,10,6,38
Davide Zappacosta,"DF,MF",7.1,28,25,47,5,10,14,0.6,86.1,1288,4,9,0,32
Bryan Zaragoza,"MF,FW",10.4,58,14,68,37,36,9,2.7,54.8,725,5,2,1,37
Anass Zaroury,FW,1.4,1,2,12,1,1,4,0.1,61.8,107,0,1,0,7
Oier Zarraga,MF,0.6,2,2,5,0,3,0,0,87.5,58,0,0,0,2
Mehdi Zeffane,DF,4.4,5,22,26,0,6,14,0.2,75.4,901,7,2,6,28
Jordan Zemura,DF,4.5,11,13,25,6,4,4,0.1,70.1,707,9,3,4,25
Robin Zentner,GK,11,0,1,0,0,0,100,0,72,5268,0,0,0,13
Alessio Zerbin,FW,0.1,0,0,2,0,1,0,0,60,2,0,0,0,0
Cedric Zesiger,DF,7,6,42,0,2,2,38,0.1,86.6,3223,0,12,6,29
Michael Zetterer,GK,4,0,0,0,0,0,65,0,84.3,2851,0,0,0,2
Nathan Zeze,DF,1,0,1,0,0,0,2,0,81.8,162,0,0,1,1
Edon Zhegrova,FW,8,47,32,108,33,39,17,3.4,71.8,1205,4,7,1,40
Piotr Zieliński,MF,10.5,24,80,47,10,24,36,2.3,81.5,2795,10,9,7,49
David Zima,DF,0.9,1,1,0,0,0,2,0,82.9,91,1,0,3,6
Christoph Zimmermann,"DF,FW",4.3,1,9,0,0,0,13,0,81.4,883,10,10,10,11
Oleksandr Zinchenko,DF,7.4,15,84,21,3,9,47,1,87.4,2574,13,7,7,44
Joshua Zirkzee,FW,11.5,12,29,62,13,16,15,1,73.6,596,6,6,3,36
Zito,"FW,MF",9.3,40,8,69,17,18,4,1.2,71.1,297,2,7,0,22
Simon Zoller,"FW,MF",0.5,0,0,0,0,0,1,0,62.5,0,0,1,0,1
Nadir Zortea,DF,1.4,6,6,16,5,7,7,0.1,77.3,383,4,2,1,4
Kurt Zouma,DF,11,2,20,0,0,2,39,0,84.1,2517,6,14,14,39
Igor Zubeldia,DF,11,7,46,0,2,1,52,0.3,81.3,3205,8,13,8,62
Martín Zubimendi,MF,11.9,15,60,9,3,20,34,0.6,85.1,2485,9,9,17,72
Martin Ødegaard,MF,8.7,22,46,51,7,15,18,1.2,81,1095,5,9,3,38
Milan Đurić,FW,6.3,2,4,18,1,4,4,0.3,56.9,173,0,0,0,11
Mateusz Łęgowski,MF,4.9,10,18,9,4,9,8,0.2,80.4,579,4,6,1,29
