Player,Pos,90s,PrgC,PrgP,PrgR,Succ Takeons,Attakcking Third Carries,Long Passes Cmp,xA,Pass Cmp%,Pass PrgDist,TklW,Blocks,Int,Recov
Julian Ryerson,DF,7.9,14,30,57,3,17,24,1.4,84.8,1197,9,12,4,50
Frederik Rønnow,GK,11,0,0,0,0,1,63,0,66.2,4954,0,0,1,23
José Sá,GK,12,0,0,0,1,1,73,0,70.1,5007,0,1,0,15
Youssouf Sabaly,DF,3,9,14,14,3,7,4,0.4,84.2,637,3,3,3,20
Emmanuel Sabbi,"MF,FW",2.8,5,7,16,2,0,1,0,73.5,162,1,8,1,9
Stefano Sabelli,"DF,MF",8.9,19,20,32,2,18,24,0.3,59,1593,8,10,8,26
Marcel Sabitzer,MF,6.8,14,36,18,3,7,11,0.8,76.8,1015,7,13,5,25
Falaye Sacko,DF,10.7,24,39,24,7,21,27,0.6,77,2467,13,15,18,78
Umar Sadiq,FW,3.2,6,6,15,12,5,3,0.1,72,70,1,1,0,9
Alexis Saelemaekers,FW,4.4,16,13,35,6,10,13,0.6,75.8,531,5,5,3,21
Wesley Saïd,"FW,MF",2.8,5,4,30,3,4,1,0.2,69.2,132,0,2,2,6
Théo Sainte-Luce,DF,1.8,2,3,1,2,3,2,0,80.6,351,3,3,2,11
Bukayo Saka,FW,10.5,49,34,137,17,25,32,3.3,76.5,1509,15,19,3,52
Mamadou Sakho,DF,0.1,0,1,0,0,0,0,0,93.8,105,1,0,0,0
Ibrahim Salah,"FW,MF",2.7,7,10,36,5,7,8,0.2,71.7,290,4,2,4,19
Mohamed Salah,FW,11.6,38,55,123,9,17,14,3.3,74.9,1197,6,5,1,26
Amine Salama,"FW,MF",2,6,6,11,6,4,0,0,66.7,74,0,1,0,8
Kike Salas,DF,1.9,2,11,1,0,0,6,0,74.1,682,4,1,4,17
William Saliba,DF,12,4,56,2,2,8,52,0.5,93.6,5726,4,12,9,69
Roland Sallai,"FW,DF",6.8,17,13,42,6,12,5,0.5,67.7,412,2,9,3,25
Yoann Salmier,DF,10,6,25,3,2,12,25,0.7,80.2,2359,7,13,15,47
Salvi,MF,0.3,2,0,2,1,2,1,0,83.3,17,0,0,1,1
Lazar Samardzic,MF,9.4,26,33,24,24,12,53,1.9,73.3,1821,4,7,3,49
Diadie Samassékou,MF,0,0,0,0,0,0,0,0,100,0,0,0,1,0
Mama Samba Baldé,"FW,MF",3.9,12,3,38,5,3,3,0.7,58.6,127,2,0,1,17
Brice Samba,GK,12,0,0,0,0,0,86,0,81.3,5030,0,0,0,11
Albert Sambi Lokonga,MF,1.4,0,4,2,0,1,3,0,77.4,202,0,0,0,8
Junior Sambia,"DF,MF",0.6,1,3,3,0,2,2,0.1,73.8,110,1,0,0,1
Fede San Emeterio,MF,1.5,0,3,0,0,0,6,0.2,80.9,238,2,3,1,5
Antonio Sanabria,"FW,MF",5.6,9,12,37,2,6,10,0.4,72.7,350,4,1,2,14
Marciano Sanca,"FW,MF",0.4,1,1,1,0,1,0,0,56.3,43,0,0,0,1
Oihan Sancet,MF,8.8,33,44,59,14,27,13,1.3,80.1,868,5,3,2,47
Renato Sanches,MF,1.1,4,9,2,3,4,2,0.1,87.3,192,1,1,0,4
Ricard Sánchez,DF,10.1,19,28,38,9,16,29,1.8,74.7,2356,4,9,8,54
Alexis Sánchez,FW,1.4,3,5,15,5,0,4,0.2,82.3,192,1,1,1,9
Antonio Sánchez,MF,4.5,11,17,7,5,7,14,0.9,71.8,585,4,9,2,39
Davinson Sánchez,DF,0.9,0,2,0,0,2,3,0,90.7,377,0,3,1,4
Juanlu Sánchez,DF,4,14,19,26,11,6,10,0.5,78.9,1190,13,10,2,25
Manu Sánchez,DF,7.6,21,32,19,4,10,17,1.1,77.4,2146,13,5,10,42
Robert Sánchez,GK,12,0,1,0,0,0,79,0,82.8,5521,0,0,0,15
Jadon Sancho,"FW,MF",0.9,10,4,5,3,5,1,0.1,79.1,116,0,1,1,10
Alex Sandro,DF,2,7,18,2,0,4,12,0.4,85.6,821,1,2,5,13
Ibou Sané,FW,0.3,2,1,4,3,0,0,0,60,18,1,2,0,3
Leroy Sané,FW,10.6,61,57,139,47,42,26,5.3,78.5,1432,4,5,2,36
Sadibou Sané,DF,0.5,0,0,0,0,0,2,0,78.6,67,0,0,1,2
Arouna Sangante,DF,10,2,20,3,2,4,60,0.3,84.4,3327,10,14,24,51
Ibrahim Sangaré,MF,7.1,4,26,5,4,3,16,0.3,79.5,992,13,16,9,35
Morgan Sanson,MF,9.3,24,28,50,11,19,34,1.6,75.8,1185,10,10,12,71
Nicola Sansone,"FW,MF",1.3,3,4,15,2,3,2,0.4,76.9,144,3,2,1,6
Baptiste Santamaria,MF,4.8,2,25,14,0,8,24,0.1,87.6,987,3,4,3,33
Andrey Santos,MF,0.1,0,0,0,0,0,0,0,100,31,0,1,0,0
Tiago santos,DF,7.2,26,37,39,20,14,27,0.8,80.9,1435,10,8,7,38
Riccardo Saponara,"MF,FW",1.8,8,5,18,2,6,3,0.1,68.9,165,0,3,0,7
Pablo Sarabia,"FW,MF",2.1,4,10,20,1,5,5,1,68.2,242,2,4,1,11
Amin Sarr,"FW,MF",1.1,3,1,8,2,1,0,0.1,65,11,0,1,0,2
Amin Sarr,"FW,MF",1.1,1,2,7,1,1,0,0,43.5,43,0,1,0,3
Bouna Sarr,DF,1.2,3,2,4,1,2,3,0.1,88.5,286,0,3,0,3
Ismaila Sarr,"FW,MF",7.3,26,16,68,9,22,5,1.5,77.5,523,3,9,7,37
Martin Satriano,FW,5.8,9,7,28,5,5,9,0.2,63.5,152,5,8,2,17
Téji Savanier,MF,10.4,14,67,41,17,19,75,3,69.6,2998,7,12,7,59
Stefan Savić,DF,6.6,5,22,0,3,2,23,0.1,81.3,2081,5,16,14,35
Sávio,"MF,FW",11.5,62,27,122,30,32,9,4.1,73.2,913,11,17,4,67
Saba Sazonov,DF,1.4,0,2,0,0,0,12,0,93.7,402,3,2,1,14
Joe Scally,DF,8.1,10,21,25,3,9,31,0.3,78.3,2092,13,13,6,32
Giorgio Scalvini,DF,9,11,24,6,6,9,29,0.1,83.7,2685,14,23,20,66
Gianluca Scamacca,FW,5.6,11,12,60,9,7,20,0.4,67.8,326,4,2,1,13
Kevin Schade,"FW,MF",2.9,3,9,18,1,2,1,0.4,60.6,171,1,0,1,18
Fabian Schär,DF,12,5,37,5,3,12,98,0.5,85.4,5368,13,10,11,68
Patrik Schick,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stefan Schimmer,"FW,DF",0.5,0,1,3,0,0,0,0,33.3,17,0,1,1,1
Xaver Schlager,MF,9.7,28,52,11,10,19,28,0.7,85.6,1933,21,12,7,77
Keven Schlotterbeck,DF,5,2,11,2,0,1,14,0.5,71.1,1035,2,10,4,24
Nico Schlotterbeck,DF,10,23,62,4,1,19,101,0.5,87.8,5351,14,11,13,81
Jeffrey Schlupp,"FW,MF",8.4,9,16,25,8,8,4,0.4,72.6,448,10,9,3,31
Romano Schmid,MF,9.8,32,56,53,17,30,32,2.7,77.2,1817,7,15,1,72
Kenneth Schmidt,DF,0.8,2,4,3,0,0,2,0.1,89.6,239,2,1,1,11
Niklas Schmidt,MF,7,10,39,16,6,13,57,0.8,81.5,2052,15,8,4,48
Benno Schmitz,DF,4.8,10,32,15,2,8,18,0.2,66.7,1636,4,8,2,25
Fabian Schnellhardt,"MF,DF",1.4,3,8,3,1,1,4,0,88.9,280,0,1,3,16
Jan Schöppner,MF,2.3,2,5,5,4,1,3,0.1,65.6,211,1,0,3,19
Marcel Schuhen,GK,11,0,2,0,0,0,134,0,71.8,8322,0,0,0,23
Perr Schuurs,DF,8.6,9,19,4,2,6,27,0.4,88.4,1868,12,10,9,49
Marvin Schwäbe,GK,11,0,0,0,0,0,104,0,79.6,6120,0,0,0,7
Alex Scott,MF,2.1,5,7,2,5,5,2,0.1,75.9,257,1,2,2,10
Simone Scuffet,GK,5,0,0,0,0,0,46,0,70.2,2181,0,0,0,6
Jérémy Sebas,FW,0.4,0,0,3,0,2,1,0,100,15,0,0,0,1
Demba Seck,MF,4.5,21,10,21,7,17,3,0.1,76.3,213,3,1,1,19
Aleksandar Sedlar,DF,10.5,6,26,1,2,4,46,0.1,84.7,2813,10,8,13,49
Alidu Seidu,DF,9.1,13,23,3,9,15,40,0.2,83.2,2479,16,8,16,79
Nicolas Seiwald,MF,1.4,0,3,0,0,1,4,0,79.5,251,6,4,1,10
Davie Selke,FW,7.9,7,11,24,6,1,3,0.2,66.9,179,1,2,0,5
Matz Sels,GK,11,0,0,0,0,0,83,0,72.3,5001,0,0,0,6
Nélson Semedo,"DF,MF",10.7,28,39,49,19,16,18,0.5,78.9,2199,17,14,13,60
Vivaldo Semedo,FW,0.1,1,0,0,0,0,0,0,0,0,0,0,0,1
Antoine Semenyo,"FW,MF",4.7,16,10,29,10,9,1,0.5,75,223,3,3,2,26
Marvin Senaya,DF,6.8,14,19,22,6,13,19,0.8,75.9,1457,15,15,12,27
Marcos Senesi,DF,6.4,12,28,0,4,4,54,0.6,79.2,2555,10,10,5,55
Stefano Sensi,MF,0.2,1,1,2,0,1,4,0.1,90.5,85,0,0,1,1
Suat Serdar,MF,2.1,1,5,6,2,1,3,0.1,74.1,189,4,1,2,11
Benjamin Šeško,FW,3.3,5,3,18,6,3,1,0.1,62.1,62,2,7,0,7
Kevin Sessa,"MF,FW",1.5,4,9,12,3,1,5,0.2,71.4,228,0,3,0,8
Aaron Seydel,"FW,MF",0.3,1,2,2,0,0,1,0.1,61.5,45,0,0,0,0
Stephan El Shaarawy,"FW,DF",5.4,14,17,44,8,2,13,1,83.5,565,3,4,0,18
Luke Shaw,DF,2,1,11,8,1,2,8,0.5,81.7,540,2,7,2,9
Eldor Shomurodov,FW,3.4,5,9,18,3,6,3,0.5,76.7,235,1,1,1,12
Steven Shpendi,"FW,MF",2.3,3,4,19,2,1,0,0.2,70,69,0,2,1,9
Vincent Sierro,MF,7.5,2,41,13,0,5,31,0.4,75.5,1614,2,8,10,45
Tim Siersleben,DF,9,7,44,1,0,4,78,0.4,81.5,3976,9,15,17,57
Kiliann Sildillia,DF,7.6,10,28,24,9,7,36,0.6,71.2,1970,9,8,7,43
André Silva,FW,0.3,0,0,3,0,0,0,0,80,3,0,0,0,1
Bernardo Silva,"MF,FW",8.1,43,50,66,6,22,41,2.8,89.1,1471,6,10,1,24
Caio Henrique Oliveira Silva,DF,5.9,15,26,46,5,15,26,2,79.7,1746,6,7,3,33
Fábio Silva,FW,2.9,5,10,13,2,5,1,0.1,80.3,174,4,1,2,15
Rui Silva,GK,4.5,0,0,1,0,0,40,0,69.9,2419,0,0,1,5
Thiago Silva,DF,12,1,42,2,1,9,80,0.3,95.5,6349,5,11,11,76
Marco Silvestri,GK,12,0,0,0,0,0,59,0,74.5,4751,0,1,0,16
Mohamed Simakan,DF,10.4,13,43,19,4,11,38,0.7,87.4,3581,15,13,17,41
Giovanni Simeone,FW,2.9,3,5,23,3,3,3,0.2,75.5,129,0,4,0,4
Moses Simon,"MF,FW",10.9,65,21,95,21,24,10,2.9,64.8,739,1,7,3,26
Unai Simón,GK,13,0,0,0,0,0,113,0,61.4,7145,0,0,0,16
Xavi Simons,MF,9.6,36,41,53,17,40,22,2,76.3,1218,2,9,3,52
Wilfried Singo,DF,11,20,75,6,15,21,71,0.6,87.2,3950,12,8,21,89
Luis Sinisterra,"MF,FW",1.4,6,6,10,4,2,1,0.3,77.8,164,3,2,2,6
Daley Sinkgraven,DF,1.6,1,5,2,0,0,3,0,89.7,273,2,2,2,9
Ayanda Sishuba,MF,0.4,4,1,7,5,0,0,0,75,33,0,1,0,1
Ibrahima Sissoko,MF,2.8,3,21,1,2,3,10,0.2,81.2,496,7,2,1,24
Moussa Sissoko,MF,1.1,3,9,11,0,3,1,0,81.4,273,0,0,0,8
Antonio Sivera,GK,13,0,0,0,0,0,126,0.1,60.1,7063,0,0,0,14
Tim Skarke,"FW,MF",7.6,19,16,43,12,8,20,0.4,73.4,733,5,5,4,37
Ellyes Skhiri,MF,11,4,50,15,7,9,34,1.3,82.6,2241,12,19,16,79
Oliver Skipp,MF,2,0,8,7,0,1,5,0,90,274,4,4,0,10
Leo Skiri Østigård,DF,7.5,8,31,2,0,6,27,0.1,86.6,3064,6,6,8,41
Łukasz Skorupski,GK,12,0,0,0,0,0,103,0,81.5,6484,1,0,0,9
Robert Skov,"DF,FW",6.7,12,27,38,4,9,29,0.4,72.8,1577,6,10,6,32
Milan Škriniar,DF,11,1,30,0,1,0,86,0.2,95.7,6278,14,13,8,70
Naatan Skyttä,MF,0.2,1,3,1,0,0,0,0,92.9,48,0,0,0,0
Chris Smalling,DF,2.7,1,10,1,0,2,9,0,88.5,1000,1,1,4,17
Adam Smith,DF,1.4,1,10,2,0,1,6,0.2,80.9,386,0,1,0,5
Emile Smith Rowe,MF,1.2,1,5,5,2,2,1,0.1,77.4,132,0,3,1,5
Hrvoje Smolčić,DF,2.5,0,7,0,2,1,16,0,87.5,1191,0,2,3,15
Danilo Soares,DF,3.4,3,14,8,6,1,7,0.1,69.3,906,6,6,7,32
Eduard Sobol,DF,0.2,1,1,0,0,3,0,0,62.5,43,0,0,0,0
Rubén Sobrino,MF,4.1,5,9,16,3,7,6,0.3,72.4,359,8,7,4,39
Emran Soglo,MF,0.8,1,1,6,0,2,1,0,62.5,35,1,4,1,5
Alex Sola,FW,5.7,20,12,45,17,10,12,0.5,55.5,534,7,8,3,32
Alex Sola,"DF,MF",0.3,1,1,0,0,1,0,0,75,75,0,0,1,2
Dominic Solanke,FW,11.9,17,17,57,11,10,5,0.8,80.1,414,3,9,2,31
Ola Solbakken,FW,0.3,1,0,4,1,0,1,0,75,4,0,0,0,1
Carlos Soler,"DF,MF",3.2,4,16,16,0,3,10,1,88.1,855,3,3,2,15
Jhon Solis,MF,0.1,0,0,0,0,0,0,0,62.5,11,0,0,0,1
Manor Solomon,FW,2.2,17,11,44,10,8,3,0.8,86.7,196,3,4,3,11
Yann Sommer,GK,12,0,0,0,0,0,87,0,83.9,5575,1,1,0,13
Brandon Soppy,DF,1.3,7,3,3,3,3,5,0,75.4,261,2,1,0,14
David Soria,GK,13,0,0,0,0,0,152,0.1,51.3,8906,0,0,0,25
Alberto Soro,MF,0.1,0,0,0,0,0,0,0,100,9,0,0,0,0
Alessandro Sorrentino,GK,1,0,0,0,1,0,4,0,92.6,347,0,0,0,0
Borna Sosa,"FW,DF",0.5,5,2,10,0,1,4,0.1,62.8,122,0,0,0,0
Hugo Sotelo,MF,3,9,19,6,1,7,12,0.2,85.7,805,6,5,1,24
Florian Sotoca,"MF,FW",11.2,24,54,108,8,29,22,1.8,71.1,1651,5,9,5,42
Riccardo Sottil,FW,2.7,18,8,33,6,8,1,0.2,79.1,212,3,3,1,12
Tomáš Souček,MF,9,3,24,12,0,4,18,0.5,74.3,811,10,13,10,28
Matìas Soulé,"FW,MF",9.5,39,58,71,43,37,37,2.2,76.8,1729,14,16,7,60
Boubakary Soumaré,MF,4.4,5,25,4,7,3,23,0.1,90.6,1183,8,2,5,30
Issa Soumaré,"FW,MF",2.6,4,4,18,3,5,0,0.1,53.2,98,0,0,0,8
Vinicius Souza,MF,10.3,4,28,11,8,3,17,0.1,82,1295,17,17,13,52
Djibril Sow,MF,7,9,30,14,3,7,14,0.5,86.1,815,8,9,7,37
Çağlar Söyüncü,DF,0.7,1,4,0,1,2,2,0,87.5,245,1,1,1,7
Stijn Spierings,MF,5.4,6,35,8,1,9,21,0.1,86.3,1683,14,7,12,47
Stijn Spierings,MF,1.3,0,9,4,0,1,4,0,84.7,305,0,2,2,5
